Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Variable
[True],10755,0.5891859318505533,6133,4622,0.4297536029753603,0.2828565147916575,0.0468276754519771,0.00583402372408455,Saving_Amount
[False],7499,0.4108140681494467,2994,4505,0.600746766235498,-0.40857760506286456,0.06764114837843634,0.008396819042727016,Saving_Amount
[True],3312,0.18143968445272268,1828,1484,0.44806763285024154,0.2084813282867694,0.007857738241552394,0.0009804423224826827,Current_Amount
[False],14942,0.8185603155472773,7299,7643,0.5115111765493241,-0.046052843791252046,0.001735748686774477,0.00021694941450659845,Current_Amount
[True False],18254,1.0,9127,9127,0.5,0.0,0.0,0.0,Time_Deposits_Amount
[True],1191,0.06524597348526351,811,380,0.31905961376994124,0.7580968013949813,0.035799246346141886,0.0043707359409497215,Funds_Amount
[False],17063,0.9347540265147365,8316,8747,0.5126296665299185,-0.050529414441951095,0.002386126616027282,0.000298234100270715,Funds_Amount
[True],2364,0.12950586172893613,1620,744,0.3147208121827411,0.7781403933933378,0.07468510842692713,0.009107014553024515,Stocks_Amount
[False],15890,0.8704941382710639,7507,8383,0.5275645059786029,-0.11036992706485516,0.010593191202893966,0.0013234772199745906,Stocks_Amount
"(-inf, 0.00)",4655,0.255012599978087,1324,3331,0.7155746509129968,-0.922615101696726,0.2028803012057992,0.024497200588702424,Money_Amount
"[0.00, 144.97)",5155,0.2824038566889449,2646,2509,0.48671193016488845,0.053164798308478596,0.000798025349869795,9.974142239752145e-05,Money_Amount
"[144.97, 4424.40)",5390,0.2952777473430481,3117,2273,0.4217068645640074,0.3157704559147938,0.029200204315994953,0.003634936256838181,Money_Amount
"[4424.40, 9431.66)",969,0.0530842555056426,642,327,0.33746130030959753,0.6746281327927076,0.023283429585811654,0.0028564630159302867,Money_Amount
"[9431.66, 28569.56)",990,0.05423468828749863,757,233,0.23535353535353534,1.1783247998717483,0.06765007068399213,0.007998671939846257,Money_Amount
"[28569.56, inf)",1095,0.05998685219677879,641,454,0.4146118721461187,0.3449322588793222,0.007067199782013061,0.0008790464690288857,Money_Amount
[True],948,0.05193382272378657,502,446,0.4704641350210971,0.11828116767166505,0.0007257308414170317,9.066351042315204e-05,Bank_Assurance_Amount
[False],17306,0.9480661772762135,8625,8681,0.501617935975962,-0.006471766492247277,3.970843908906142e-05,4.963546224074624e-06,Bank_Assurance_Amount
[False True],18254,1.0,9127,9127,0.5,0.0,0.0,0.0,Life_Assurance_Amount
[False True],18254,1.0,9127,9127,0.5,0.0,0.0,0.0,Business_Loan_Amount
[True],1039,0.05691903144516271,527,512,0.49278152069297404,0.028875923501854542,4.7456870004143496e-05,5.931902663082282e-06,Home_Loan_Amount
[False],17215,0.9430809685548373,8600,8615,0.5004356665698518,-0.001742666720430799,2.8640298900471774e-06,3.5800369090283404e-07,Home_Loan_Amount
[False],11269,0.6173441437493152,6893,4376,0.38832194515928653,0.45437133878383484,0.12530433436166458,0.015529680487528709,Consumer_Loan_Amount
[True],6985,0.38265585625068477,2234,4751,0.6801717967072298,-0.7545614215577757,0.2080893062409248,0.02541113700995533,Consumer_Loan_Amount
"(-inf, 47.36)",10579,0.5795442094883313,6679,3900,0.36865488231401833,0.5379917226078982,0.16380837045330873,0.020232628497768926,Loans
"[47.36, 1682.89)",3150,0.17256491727840473,1085,2065,0.6555555555555556,-0.6435502394205733,0.06910038727206769,0.008491513956129456,Loans
"[1682.89, 3061.70)",970,0.05313903801906431,221,749,0.7721649484536083,-1.2205762819994668,0.0706107457977121,0.0083162611745624,Loans
"[3061.70, 6070.00)",1302,0.07132683247507396,326,976,0.7496159754224271,-1.0965652050463852,0.07809437748221212,0.009300343842947721,Loans
"[6070.00, 9719.31)",914,0.05007121726744823,261,653,0.7144420131291028,-0.9170567219537373,0.039387118988261756,0.004757810477233995,Loans
